"year","rec","ssb","species"
1963,496332,151752,"cod"
1964,818313,162918,"cod"
1965,1058115,199187,"cod"
1966,1292385,221461,"cod"
1967,1093616,249946,"cod"
1968,553491,260928,"cod"
1969,489432,257816,"cod"
1970,1586435,270493,"cod"
1971,2069878,274581,"cod"
1972,517622,243288,"cod"
1973,746387,211082,"cod"
1974,727959,230038,"cod"
1975,1242952,210239,"cod"
1976,850007,180052,"cod"
1977,2101160,154199,"cod"
1978,1342441,156061,"cod"
1979,1638022,157157,"cod"
1980,2626073,173338,"cod"
1981,1059174,187775,"cod"
1982,1732368,182225,"cod"
1983,951695,153584,"cod"
1984,1701465,132058,"cod"
1985,417901,133119,"cod"
1986,1852414,117712,"cod"
1987,709986,122639,"cod"
1988,488454,122149,"cod"
1989,826537,109535,"cod"
1990,330050,99310,"cod"
1991,378511,96182,"cod"
1992,858550,91766,"cod"
1993,438888,99310,"cod"
1994,1024792,102950,"cod"
1995,601391,122272,"cod"
1996,379648,118302,"cod"
1997,1162403,103053,"cod"
1998,143918,104193,"cod"
1999,252963,87466,"cod"
2000,461852,69355,"cod"
2001,170076,64731,"cod"
2002,248451,57699,"cod"
2003,125242,58047,"cod"
2004,202805,47193,"cod"
2005,156686,48485,"cod"
2006,361132,44179,"cod"
2007,170928,72911,"cod"
2008,197008,81064,"cod"
2009,197600,90944,"cod"
2010,299539,93340,"cod"
2011,150693,105451,"cod"
2012,205870,106724,"cod"
2013,254995,118184,"cod"
2014,381170,124742,"cod"
1972,9850450,296040,"haddock"
1973,31957960,265670,"haddock"
1974,77446140,324960,"haddock"
1975,5240370,157180,"haddock"
1976,5644780,186530,"haddock"
1977,14401250,362170,"haddock"
1978,31438050,154460,"haddock"
1979,63843850,92180,"haddock"
1980,11995690,101750,"haddock"
1981,20178410,190770,"haddock"
1982,11801110,407480,"haddock"
1983,35114880,264260,"haddock"
1984,8472810,224760,"haddock"
1985,12378730,156530,"haddock"
1986,22601880,248670,"haddock"
1987,1932260,152430,"haddock"
1988,2501900,120750,"haddock"
1989,3301230,173600,"haddock"
1990,11247700,78690,"haddock"
1991,12444430,50330,"haddock"
1992,17575500,49490,"haddock"
1993,5366240,110520,"haddock"
1994,21074800,131330,"haddock"
1995,5864840,176340,"haddock"
1996,7716400,114660,"haddock"
1997,4231180,242200,"haddock"
1998,3156890,165760,"haddock"
1999,49738050,128010,"haddock"
2000,9566690,77330,"haddock"
2001,907690,51980,"haddock"
2002,1396200,496780,"haddock"
2003,1358990,416060,"haddock"
2004,1427250,271350,"haddock"
2005,15115250,189090,"haddock"
2006,2950210,117390,"haddock"
2007,2007210,79630,"haddock"
2008,1482790,222290,"haddock"
2009,10478090,163340,"haddock"
2010,1117440,147200,"haddock"
2011,506610,111240,"haddock"
2012,1417660,281000,"haddock"
2013,660910,225250,"haddock"
2014,4992530,155910,"haddock"
1947,74551446,3767793,"herring"
1948,67727306,3181935,"herring"
1949,58410136,3103373,"herring"
1950,82145285,3029778,"herring"
1951,74402492,2841947,"herring"
1952,74328127,2791250,"herring"
1953,80438220,2618206,"herring"
1954,74925137,2436322,"herring"
1955,66519121,2412080,"herring"
1956,48158105,2226630,"herring"
1957,136113547,2043143,"herring"
1958,49032799,1698065,"herring"
1959,58002693,2633963,"herring"
1960,22009836,2253511,"herring"
1961,113011484,2141463,"herring"
1962,52483007,1530339,"herring"
1963,79717524,2488026,"herring"
1964,83553692,2400050,"herring"
1965,38034340,1947389,"herring"
1966,34622004,1581683,"herring"
1967,43055477,1026843,"herring"
1968,41243332,564107,"herring"
1969,19249584,511959,"herring"
1970,36910256,489921,"herring"
1971,27017625,348015,"herring"
1972,17716377,350109,"herring"
1973,8806494,302247,"herring"
1974,16902972,203008,"herring"
1975,3764027,117830,"herring"
1976,4876801,165711,"herring"
1977,5509586,124368,"herring"
1978,5694435,154662,"herring"
1979,11184059,190042,"herring"
1980,16919883,210871,"herring"
1981,37655892,309279,"herring"
1982,60188990,430628,"herring"
1983,56797337,646288,"herring"
1984,53704105,1031990,"herring"
1985,68544930,1095805,"herring"
1986,81327925,1126921,"herring"
1987,83136966,1310606,"herring"
1988,43098554,1679489,"herring"
1989,36324391,1749779,"herring"
1990,30371038,1785127,"herring"
1991,31832553,1544174,"herring"
1992,60249209,1177613,"herring"
1993,52064818,834009,"herring"
1994,36984150,903472,"herring"
1995,48158105,952647,"herring"
1996,45901117,1090340,"herring"
1997,31139884,1251683,"herring"
1998,22908074,1516628,"herring"
1999,74850249,1592794,"herring"
2000,49624737,1583265,"herring"
2001,90061200,2154351,"herring"
2002,45672184,2478093,"herring"
2003,22009836,2535750,"herring"
2004,26376921,2502999,"herring"
2005,24324631,2373794,"herring"
2006,28602366,1857979,"herring"
2007,28092129,1497039,"herring"
2008,28889825,1558135,"herring"
2009,38647784,1908828,"herring"
2010,38378194,1970898,"herring"
2011,32508105,2397651,"herring"
2012,36215581,2586976,"herring"
2013,38339835,2285282,"herring"
2014,68888513,2219961,"herring"
1967,127456,194228,"saithe"
1968,114114,164413,"saithe"
1969,300689,263979,"saithe"
1970,291836,311949,"saithe"
1971,327932,429606,"saithe"
1972,171373,474022,"saithe"
1973,152852,534466,"saithe"
1974,148741,554917,"saithe"
1975,181240,472030,"saithe"
1976,384114,351617,"saithe"
